Response ID;Date submitted;Last page;Start language;Date started;Date last action;Misinformation ...  [is affecting public debates.];Misinformation ...  [exists in some media types.];Misinformation ...  [exists across all media types.];Misinformation ...  [is easy to detect.];Misinformation ...  [is a problem.];I think a scientific accuracy score is [helpful];I think a scientific accuracy score is [innovative];I think a scientific accuracy score is [trivial];I think a scientific accuracy score is [insignificant];I think a scientific accuracy score is [necessary];I think a scientific accuracy score is [confusing];Please rank the following options in order of importance for your acceptance of a scientific accuracy score.  [Rank 1];Please rank the following options in order of importance for your acceptance of a scientific accuracy score.  [Rank 2];Please rank the following options in order of importance for your acceptance of a scientific accuracy score.  [Rank 3];Please rank the following options in order of importance for your acceptance of a scientific accuracy score.  [Rank 4];Please rank the following options in order of importance for your acceptance of a scientific accuracy score.  [Rank 5];Please rank the following options in order of importance for your acceptance of a scientific accuracy score.  [Rank 6];Please rank the following options in order of importance for your acceptance of a scientific accuracy score.  [Rank 7];I think the tool in the current state is: [helpful];I think the tool in the current state is: [innovative];I think the tool in the current state is: [trivial];I think the tool in the current state is: [insignificant];I think the tool in the current state is: [necessary];I think the tool in the current state is: [confusing];I think the tool in the current state is: [transparent];I would like to use this tool to check [newspaper articles];"I would like to use this tool to check [electoral programme (""Wahlprogramm"")]";I would like to use this tool to check [draft laws];I would like to use this tool to check [political speeches];I would like to use this tool to check [blog posts / tweets];I would like to use this tool to check [texts I have written myself];I would like to use this tool to check [short viral clips for example on TikTok, Instagram];I would like to use this tool to check [long video essays for example on YouTube];I would like to use this tool to check [audios for example podcasts];I would like to use this tool as a [app];I would like to use this tool as a [website];I would like to use this tool as a [desktop application];I would like to use this tool as a [browser plugin];Do you have any other comments, thoughts or ideas?;How old are you?;I am experienced in the following area: [journalism];I am experienced in the following area: [politics];I am experienced in the following area: [science];I am experienced in the following area: [climate science];I am experienced in the following area: [science communication];I am experienced in the following area: [natural language processing];I am experienced in the following area: [knowledge management];I am experienced in the following area: [computer science];"I am experienced in the following area: [digital devices &amp; applications]";My highest degree is:;Total time;Group time: Questions - concept;Question time: A4;Question time: A0;Group time: Questions - current State;Question time: A3;Question time: A1;Group time: Questions - future use;Question time: B1;Question time: B2;Question time: B3;Group time: Personal Information;Question time: C2;Question time: C3;Question time: C4
45;2024-04-08 10:44:17;4;en;2024-04-08 10:38:23;2024-04-08 10:44:17;Yes;Uncertain;Yes;No;Yes;agree;agree;disagree;strongly disagree;strongly agree;neither agree nor disagree;the calculation of the score is transparent;the sources that lead to the score are displayed;every statement is scored;statements with keywords are scored (keywords are edited personally);the score is > 90 % free from errors;the sources that lead to the score are linked;the score is > 50 % free from errors;neither agree nor disagree;neither agree nor disagree;neither agree nor disagree;neither agree nor disagree;neither agree nor disagree;neither agree nor disagree;neither agree nor disagree;strongly agree;strongly agree;agree;agree;agree;neither agree nor disagree;agree;agree;agree;strongly agree;strongly agree;agree;agree;;24;disagree;neither agree nor disagree;strongly agree;agree;disagree;disagree;disagree;neither agree nor disagree;neither agree nor disagree;Bachelor’s degree;356.73;105.85;;;120.63;;;75.24;;;;55.01;;;
47;2024-04-08 16:16:15;4;en;2024-04-08 16:08:34;2024-04-08 16:16:15;Yes;Yes;Uncertain;No;Yes;strongly agree;strongly agree;disagree;disagree;strongly agree;disagree;the score is > 90 % free from errors;the sources that lead to the score are displayed;the calculation of the score is transparent;statements with keywords are scored (keywords are edited personally);the score is > 50 % free from errors;every statement is scored;the sources that lead to the score are linked;agree;agree;disagree;disagree;strongly agree;disagree;neither agree nor disagree;strongly agree;strongly agree;neither agree nor disagree;agree;agree;strongly agree;strongly agree;disagree;disagree;strongly agree;strongly agree;strongly agree;strongly agree;;22;agree;agree;disagree;disagree;disagree;disagree;agree;strongly disagree;disagree;High school;462.36;117.12;;;131.25;;;97.72;;;;116.27;;;
49;2024-04-08 23:50:58;4;en;2024-04-08 23:45:42;2024-04-08 23:50:58;Yes;Yes;Yes;No;Yes;agree;neither agree nor disagree;disagree;disagree;agree;agree;statements with keywords are scored (keywords are edited personally);the sources that lead to the score are linked;the score is > 90 % free from errors;the sources that lead to the score are displayed;the calculation of the score is transparent;every statement is scored;the score is > 50 % free from errors;agree;neither agree nor disagree;neither agree nor disagree;disagree;agree;agree;agree;agree;agree;agree;agree;disagree;disagree;disagree;disagree;agree;agree;agree;disagree;disagree;;;disagree;neither agree nor disagree;agree;neither agree nor disagree;neither agree nor disagree;neither agree nor disagree;agree;agree;neither agree nor disagree;Bachelor’s degree;317.07;64.98;;;172.28;;;44.5;;;;35.31;;;
50;2024-04-09 11:57:25;4;en;2024-04-09 11:52:21;2024-04-09 11:57:25;Yes;Uncertain;Yes;No;Yes;strongly agree;strongly agree;disagree;strongly disagree;strongly agree;strongly disagree;the score is > 90 % free from errors;the sources that lead to the score are linked;statements with keywords are scored (keywords are edited personally);the sources that lead to the score are displayed;the calculation of the score is transparent;every statement is scored;the score is > 50 % free from errors;strongly agree;strongly agree;strongly disagree;strongly disagree;strongly agree;disagree;agree;agree;strongly agree;neither agree nor disagree;strongly agree;strongly agree;agree;strongly agree;agree;strongly agree;strongly agree;agree;neither agree nor disagree;strongly agree;Implementing it into a Social Media application alongside current fact checking measures;24;agree;agree;neither agree nor disagree;agree;disagree;disagree;agree;neither agree nor disagree;agree;Bachelor’s degree;305.99;34.13;;;136.01;;;93.29;;;;42.56;;;
51;2024-04-09 14:23:58;4;en;2024-04-09 14:11:44;2024-04-09 14:23:58;Yes;Yes;Yes;No;Yes;strongly agree;strongly agree;strongly disagree;strongly disagree;strongly agree;strongly disagree;the calculation of the score is transparent;the score is > 90 % free from errors;the sources that lead to the score are linked;every statement is scored;the sources that lead to the score are displayed;statements with keywords are scored (keywords are edited personally);the score is > 50 % free from errors;neither agree nor disagree;neither agree nor disagree;neither agree nor disagree;neither agree nor disagree;neither agree nor disagree;neither agree nor disagree;neither agree nor disagree;agree;strongly agree;strongly agree;strongly agree;strongly agree;agree;neither agree nor disagree;strongly agree;agree;strongly agree;agree;strongly agree;neither agree nor disagree;;23;disagree;neither agree nor disagree;strongly agree;agree;agree;disagree;;disagree;disagree;Bachelor’s degree;736.45;92.31;;;226.87;;;208.37;;;;208.9;;;
52;2024-04-09 18:24:06;4;en;2024-04-09 18:10:46;2024-04-09 18:24:06;Uncertain;Yes;No;No;Yes;agree;agree;strongly disagree;neither agree nor disagree;neither agree nor disagree;disagree;the calculation of the score is transparent;the score is > 90 % free from errors;the score is > 50 % free from errors;the sources that lead to the score are displayed;the sources that lead to the score are linked;statements with keywords are scored (keywords are edited personally);every statement is scored;agree;neither agree nor disagree;disagree;neither agree nor disagree;neither agree nor disagree;disagree;disagree;neither agree nor disagree;agree;agree;neither agree nor disagree;disagree;agree;strongly disagree;agree;agree;agree;strongly agree;agree;strongly agree;;27;strongly disagree;disagree;agree;neither agree nor disagree;agree;agree;disagree;strongly agree;strongly agree;Master’s degree;802.19;221.7;;;329.64;;;145.49;;;;105.36;;;
53;2024-04-09 18:34:26;4;en;2024-04-09 18:26:28;2024-04-09 18:34:26;Yes;Yes;Uncertain;No;Yes;strongly agree;strongly agree;strongly disagree;strongly disagree;strongly agree;neither agree nor disagree;the score is > 90 % free from errors;the calculation of the score is transparent;the sources that lead to the score are linked;statements with keywords are scored (keywords are edited personally);every statement is scored;the score is > 50 % free from errors;the sources that lead to the score are displayed;agree;agree;disagree;strongly disagree;neither agree nor disagree;strongly disagree;strongly agree;agree;strongly agree;agree;strongly agree;strongly agree;strongly agree;agree;agree;agree;strongly agree;strongly agree;strongly agree;strongly agree;;26;neither agree nor disagree;agree;agree;agree;neither agree nor disagree;disagree;neither agree nor disagree;strongly agree;agree;Bachelor’s degree;480.51;102.68;;;231.64;;;57.84;;;;88.35;;;
54;2024-04-09 22:23:18;4;en;2024-04-09 22:10:25;2024-04-09 22:23:18;Yes;Yes;Yes;Uncertain;Yes;agree;neither agree nor disagree;strongly disagree;disagree;disagree;neither agree nor disagree;the sources that lead to the score are displayed;the calculation of the score is transparent;the score is > 90 % free from errors;the sources that lead to the score are linked;the score is > 50 % free from errors;statements with keywords are scored (keywords are edited personally);every statement is scored;neither agree nor disagree;neither agree nor disagree;disagree;agree;strongly disagree;agree;neither agree nor disagree;strongly agree;agree;disagree;agree;agree;agree;agree;neither agree nor disagree;neither agree nor disagree;disagree;agree;disagree;strongly agree;No matter how good the scoring system works, if people are not using it, it is not helpful. Due to its ethical dilemma in determining „the truth“, it can also never really be made „mandatory“. I might think that the question „How can the usage barrier be lowered, to make sure more people use it?“ is more difficult than the tool itself.;23;;;neither agree nor disagree;;;neither agree nor disagree;;agree;neither agree nor disagree;High school;775.72;211.86;;;262.69;;;249.52;;;;51.65;;;
55;2024-04-10 02:10:04;4;en;2024-04-10 01:58:07;2024-04-10 02:10:04;Yes;No;Yes;No;Yes;strongly agree;strongly agree;strongly disagree;strongly disagree;strongly agree;strongly disagree;the score is > 90 % free from errors;the calculation of the score is transparent;the sources that lead to the score are linked;the sources that lead to the score are displayed;every statement is scored;statements with keywords are scored (keywords are edited personally);the score is > 50 % free from errors;strongly agree;strongly agree;strongly disagree;agree;strongly agree;disagree;agree;strongly agree;strongly agree;strongly agree;strongly agree;agree;strongly agree;strongly agree;agree;strongly agree;agree;disagree;strongly disagree;strongly agree;;28;;;;;;;;strongly agree;strongly agree;Master’s degree;718.59;211.04;;;276.16;;;141.46;;;;89.93;;;
56;2024-04-10 23:33:55;4;en;2024-04-10 23:03:57;2024-04-10 23:33:55;Yes;Yes;No;No;Yes;agree;strongly agree;disagree;disagree;agree;agree;statements with keywords are scored (keywords are edited personally);the score is > 90 % free from errors;the calculation of the score is transparent;the sources that lead to the score are displayed;every statement is scored;the score is > 50 % free from errors;the sources that lead to the score are linked;agree;agree;disagree;disagree;agree;agree;agree;strongly agree;strongly agree;disagree;neither agree nor disagree;disagree;agree;agree;neither agree nor disagree;disagree;agree;agree;agree;strongly agree;;23;disagree;disagree;agree;disagree;disagree;disagree;disagree;neither agree nor disagree;agree;High school;1799.88;677.79;;;597.24;;;407.43;;;;117.42;;;
57;2024-04-11 11:01:26;4;en;2024-04-11 10:53:06;2024-04-11 11:01:26;Yes;Yes;Uncertain;No;Yes;agree;agree;strongly disagree;disagree;agree;strongly agree;the calculation of the score is transparent;the score is > 90 % free from errors;the sources that lead to the score are displayed;the sources that lead to the score are linked;the score is > 50 % free from errors;statements with keywords are scored (keywords are edited personally);every statement is scored;agree;neither agree nor disagree;disagree;neither agree nor disagree;agree;agree;neither agree nor disagree;agree;agree;neither agree nor disagree;neither agree nor disagree;agree;disagree;disagree;disagree;disagree;strongly agree;strongly agree;agree;agree;;28;strongly disagree;disagree;strongly agree;neither agree nor disagree;disagree;disagree;strongly disagree;strongly agree;strongly agree;Master’s degree;500.9;187.15;;;201.12;;;58.08;;;;54.55;;;
58;2024-04-12 00:30:27;4;en;2024-04-12 00:25:55;2024-04-12 00:30:27;Yes;Yes;Yes;Uncertain;Yes;strongly agree;neither agree nor disagree;disagree;disagree;neither agree nor disagree;neither agree nor disagree;the calculation of the score is transparent;the sources that lead to the score are displayed;statements with keywords are scored (keywords are edited personally);the score is > 90 % free from errors;the score is > 50 % free from errors;the sources that lead to the score are linked;every statement is scored;disagree;disagree;strongly disagree;disagree;neither agree nor disagree;strongly agree;strongly disagree;neither agree nor disagree;neither agree nor disagree;disagree;agree;agree;neither agree nor disagree;agree;disagree;disagree;agree;disagree;agree;neither agree nor disagree;;29;;;;;;;;;;;274.06;73.53;;;141.29;;;49.46;;;;9.78;;;
60;2024-04-12 16:47:04;4;en;2024-04-12 16:39:28;2024-04-12 16:47:04;Yes;Yes;Yes;No;Yes;strongly agree;agree;strongly disagree;disagree;agree;disagree;the sources that lead to the score are displayed;the calculation of the score is transparent;the score is > 90 % free from errors;statements with keywords are scored (keywords are edited personally);every statement is scored;the sources that lead to the score are linked;the score is > 50 % free from errors;agree;strongly agree;disagree;disagree;agree;disagree;agree;strongly agree;strongly agree;agree;agree;strongly agree;agree;agree;agree;agree;strongly agree;agree;agree;strongly agree;;55;disagree;agree;agree;disagree;disagree;neither agree nor disagree;agree;disagree;disagree;Master’s degree;458.82;88.95;;;213.82;;;83.89;;;;72.16;;;
65;2024-04-15 10:04:20;4;en;2024-04-15 09:56:49;2024-04-15 10:04:20;Yes;Yes;Uncertain;Uncertain;Yes;strongly agree;strongly agree;strongly disagree;strongly disagree;agree;neither agree nor disagree;the sources that lead to the score are linked;the score is > 90 % free from errors;the calculation of the score is transparent;statements with keywords are scored (keywords are edited personally);every statement is scored;the sources that lead to the score are displayed;the score is > 50 % free from errors;strongly agree;strongly agree;strongly disagree;strongly disagree;agree;neither agree nor disagree;agree;strongly agree;strongly agree;strongly agree;strongly agree;neither agree nor disagree;neither agree nor disagree;neither agree nor disagree;strongly agree;strongly agree;neither agree nor disagree;strongly agree;neither agree nor disagree;neither agree nor disagree;;27;strongly disagree;strongly disagree;strongly disagree;strongly disagree;strongly disagree;strongly disagree;;strongly disagree;strongly disagree;Bachelor’s degree;453.47;83.62;;;179.39;;;109.95;;;;80.51;;;
